580,520,520,570,530,450,520,510
460,530,490,500,520,470,530,510
450,500,660,530,520,540,520,470
590,470,510,510,520,600,610,590
570,570,570,540,490,470,460,470
460,620,510,470,710,500,690,500
490,570,550,570,520,530,520,490
540,450,500,560,500,530,570,540
490,550,500,540,480,510,640,490
550,540,550,530,610,510,540,440
590,500,460,560,570,500,630,560
470,610,450,620,470,590,500,530
450,520,510,490,470,570,550,510
610,470,660,520,500,530,500,430
590,580,490,580,610,530,530,490
490,470,520,550,610,530,560,540
600,510,560,490,480,560,520,480
570,500,540,530,490,480,590,520
490,520,580,500,540,510,550,480
460,640,540,460,500,520,680,480
500,540,490,490,460,470,520,510
500,570,540,470,500,450,550,570
510,660,510,590,500,530,540,570
510,470,480,580,460,540,570,500
490,480,550,530,560,530,730,530
560,560,480,560,530,480,500,490
500,630,550,530,530,540,480,500
490,520,520,630,590,490,480,530
490,570,530,570,470,550,580,500
540,490,560,540,440,500,470,450
560,480,500,550,620,540,530,490
540,570,530,520,460,500,500,520
520,500,530,540,460,500,520,520
510,500,600,480,500,570,570,550
540,610,460,550,510,640,560,520
510,460,520,590,550,500,590,650
520,570,510,460,510,560,510,530
500,550,500,520,490,530,510,500
520,550,450,520,500,530,460,500
480,580,490,440,510,490,710,530
550,420,570,540,610,450,490,470
650,510,540,540,530,500,560,450
530,470,520,520,520,520,470,500
480,540,500,520,470,480,520,450
480,470,540,490,450,460,480,510
540,530,520,550,510,450,700,580
490,480,600,470,480,520,600,500
450,490,440,620,560,520,520,520
450,560,480,530,460,580,540,480
540,480,550,500,490,440,460,500
470,480,480,460,540,470,480,490
460,530,540,560,500,520,540,500
570,560,530,570,530,520,530,560
500,460,560,570,530,550,610,510
490,530,530,600,510,500,530,580
500,530,500,560,530,470,470,470
530,440,570,510,500,460,560,560
480,570,560,570,470,460,530,520
490,520,490,510,560,510,560,430
620,580,560,550,500,490,530,490
510,500,580,460,510,630,520,560
490,480,470,560,530,560,480,530
520,550,510,500,520,540,580,570
500,460,500,490,510,560,470,520
630,460,540,540,520,520,600,560
450,540,520,530,500,650,510,530
610,490,450,570,630,530,520,460
540,510,640,480,570,700,480,520
470,500,510,450,480,530,460,450
570,510,480,450,500,500,550,570
490,510,500,460,520,560,500,510
540,490,560,680,570,480,530,520
570,470,500,540,460,520,490,500
480,470,510,500,570,540,580,550
510,560,610,530,530,500,500,560
470,540,560,580,590,610,570,570
500,500,540,540,500,540,500,520
510,540,520,560,520,570,470,550
510,570,470,590,610,500,450,530
620,530,500,510,520,510,530,540
550,450,570,580,520,500,510,550
480,450,490,560,510,650,490,540
460,580,560,510,530,470,530,520
530,600,620,550,490,570,450,500
640,560,540,540,510,500,580,510
450,440,540,510,600,480,480,510
490,480,460,510,520,540,480,540
560,460,500,520,450,460,480,550
540,500,510,480,500,550,470,550
510,510,530,520,500,500,490,500
490,480,500,540,470,480,490,550
630,520,460,480,480,450,530,480
670,580,530,490,470,480,500,510
540,520,560,560,600,460,490,550
470,520,570,520,530,560,510,590
500,510,600,480,460,560,540,560
550,490,550,520,570,520,450,500
