510,580,580,480,500,490,500,560
590,480,510,480,470,680,610,560
500,510,540,460,510,470,580,510
550,530,480,550,520,510,450,530
520,450,490,480,570,520,530,520
510,600,520,490,520,620,510,570
530,480,490,580,530,560,440,540
620,570,480,550,590,470,530,460
610,500,620,520,540,510,470,450
580,570,610,500,490,460,500,560
490,470,520,530,520,640,600,480
520,550,500,650,520,550,510,490
530,510,500,470,580,560,550,500
520,520,470,530,490,460,490,640
490,510,500,510,640,480,550,520
510,550,470,500,480,520,510,460
610,590,530,510,570,500,600,570
580,510,570,480,570,590,520,560
540,520,670,650,510,500,490,510
520,540,550,520,460,540,520,780
590,590,480,530,550,490,450,460
600,470,500,450,570,510,490,570
440,510,520,520,560,540,530,500
490,530,520,490,590,500,470,530
550,470,560,480,520,490,490,480
570,510,490,550,560,610,520,460
480,470,470,500,540,530,520,500
570,500,510,520,540,560,510,490
490,630,450,600,510,500,490,470
450,510,500,480,520,520,560,650
520,550,630,470,470,550,490,570
520,500,540,550,530,560,460,490
570,500,520,500,520,540,520,470
550,470,560,490,490,640,490,480
480,490,500,690,520,560,480,470
470,560,550,520,430,490,520,560
460,530,490,470,610,560,490,440
620,520,490,530,500,470,530,550
510,540,600,480,530,510,510,470
480,500,480,510,640,500,550,540
540,490,540,520,620,580,520,470
660,640,560,510,540,490,560,580
530,460,600,560,520,450,610,490
620,510,470,490,540,580,540,510
480,480,640,510,490,470,480,520
640,650,480,510,540,450,490,490
580,540,490,480,600,600,600,520
600,550,460,590,550,590,520,520
570,540,490,530,530,600,550,610
480,480,550,470,520,470,540,520
460,500,510,510,490,540,580,440
490,570,460,480,610,520,610,550
490,520,520,490,500,500,510,520
510,520,580,510,540,500,510,510
530,490,590,540,570,510,540,530
440,520,590,460,510,550,530,550
570,490,530,500,530,630,490,500
530,600,500,510,490,580,530,500
520,520,630,560,610,500,540,500
470,480,470,500,500,440,490,480
540,600,430,520,490,550,530,560
480,490,450,520,470,480,520,610
520,520,500,500,670,430,520,500
500,590,610,470,560,540,490,540
580,480,530,500,530,450,560,520
530,500,580,510,650,590,490,550
470,420,600,480,500,480,510,480
520,480,520,500,480,470,540,520
490,590,460,600,480,610,500,490
